[ INFO ] [ main | 2025-08-15 00:33:14 ] Starting server on port 8080
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:50:49 ] -Dio.netty.buffer.checkBounds: true
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:50:49 ] Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@72f7d3b6
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:50:49 ] Received packet with network id 0
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:50:49 ] Received client details: 59 e760ecf3-e431-4dfb-81a2-5d5dc8b9dd74 Neko110923
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:50:49 ] Added player: Neko110923
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:50:49 ] Sent packet with network id 2, data length: 0
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:50:49 ] Sent packet with network id 6, data length: 48
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:50:49 ] Sent packet with network id 4, data length: 56
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:50:49 ] Received packet with network id 80
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:50:49 ] Received tank colors: 0, 0, 1080573952, 0, 1081073664, 0, 1077936128, 0, 1080041472
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:50:49 ] Set tank color to: Neko110923
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:50:53 ] Received packet with network id 82
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:50:53 ] Sent packet with network id 6, data length: 99
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:51:01 ] Received packet with network id 5
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:51:01 ] Sent packet with network id 6, data length: 40
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:51:01 ] Sent packet with network id 6, data length: 58
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:51:01 ] Sent packet with network id 6, data length: 41
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:51:01 ] Sent packet with network id 8, data length: 314
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:51:01 ] Sent packet with network id 9, data length: 0
[ ERROR] [ nioEventLoopGroup-3-1 | 2025-08-15 00:51:01 ] Event not registered: EventTankPlayerCreate
[ DEBUG] [ nioEventLoopGroup-3-1 | 2025-08-15 00:51:01 ] Sent packet with network id 6, data length: 36
[ INFO ] [ nioEventLoopGroup-3-1 | 2025-08-15 00:51:01 ] Neko110923 performed command: /play 1745816632554
[ INFO ] [ main | 2025-08-15 00:55:59 ] Starting server on port 8080
[ DEBUG] [ main | 2025-08-15 00:55:59 ] Using SLF4J as the default logging framework
[ DEBUG] [ main | 2025-08-15 00:55:59 ] -Dio.netty.eventLoopThreads: 24
[ DEBUG] [ main | 2025-08-15 00:55:59 ] -Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024
[ DEBUG] [ main | 2025-08-15 00:55:59 ] -Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096
[ DEBUG] [ main | 2025-08-15 00:55:59 ] -Dio.netty.noKeySetOptimization: false
[ DEBUG] [ main | 2025-08-15 00:55:59 ] -Dio.netty.selectorAutoRebuildThreshold: 512
[ DEBUG] [ main | 2025-08-15 00:55:59 ] -Dio.netty.noUnsafe: false
[ DEBUG] [ main | 2025-08-15 00:55:59 ] Java version: 21
[ DEBUG] [ main | 2025-08-15 00:55:59 ] sun.misc.Unsafe.theUnsafe: available
[ DEBUG] [ main | 2025-08-15 00:55:59 ] sun.misc.Unsafe.copyMemory: available
